HPO_ID,Sentence,Ancestor,Rank,Remarks
HP:0005264,An abnormality of the gallbladder.,HP:0025031,1,Definition
HP:0032470,"The hair shaft has a beaded appearance due to the presence of elliptical nodes that have the diameter of normal hair and are medullated, regularly separated by internodes that are narrow, devoid of medulla and are the site of fracture.",HP:0001574,6,Definition
HP:0410053,An increase in the level of GABA in the serum.,HP:0001939,3,Definition
HP:0011743,Absent development of the adrenal gland.,HP:0000818,2,Synonym
HP:0002634,Sclerosis (hardening) of the arteries with increased thickness of the wall of arteries as well as increased stiffness and a loss of elasticity.,HP:0001626,0,Synonym
HP:0012272,"The J wave is a positive convex deflection that occurs at the junction of the QRS complex and ST segment, the J-point.",HP:0001626,0,Synonym
HP:0002136,An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.,HP:0000707,1,Synonym
HP:0000550,Lack of any response to stimulation upon electroretinography.,HP:0000478,1,Definition
HP:0033055,"Impaired ability to anticipate future events, implement instructions or goals, and develop appropriate steps ahead of time in order to carry out a task or activity.",HP:0000707,6,Synonym
HP:0011227,An abnormal elevation of the C-reactive protein level in serum.,HP:0001939,4,Synonym
HP:0410288,"Increased level of amylase in the blood, an enzyme which helps digest glycogen and starch. It is produced mainly in the pancreas and salivary glands.",HP:0001939,7,Definition
HP:0008629,"Pulsatile tinnitus is generally classified a kind of objective tinnitus, meaning that it is not only audible to the patient but also to the examiner on auscultation of the auditory canal and/or of surrounding structures with use of an auscultation tube or stethoscope. Usually, pulsatile tinnitus is heard as a lower pitched thumping or booming, a rougher blowing sound which is coincidental with respiration, or as a clicking, higher pitched rhythmic sensation. Pulsatile tinnitus may be associated with vascular abnormalities such as arterioevenous shunts or glomus tumors or the jugular vein, arterial bruits related to a high-riding carotid artery (close to the auditory areas) or carotid stenosis, or venous abnormalities such as a dehiscent jugular bulb or to hypertension. Finally, in some patients, mechanical abnormalities such a spatulous eustachian tubes, palatomyoclonus (small spasms of muscles in the soft palate area), or idiopathic stapedial muscle spasm may represent the underlying cause of pulsatile tinnitus.",HP:0000598,3,Synonym
HP:0005101,"A type of hearing impairment affecting primarily the higher frequencies of sound (3,000 to 6,000 Hz).",HP:0000598,0,Synonym
HP:0032506,Alien limb phenomenon refers to involuntary motor activity of a limb in conjunction with the feeling of estrangement from that limb.,HP:0000707,5,Synonym
HP:0031473,Persistent or frequent angry feelings; anger or irritability in response to minor slights and insults.,HP:0000707,9,Synonym
HP:0100629,A congenital malformation with a cleft (gap or opening) in the midline of the face.,HP:0000152,4,Synonym
HP:0008000,"An abnormally reduced response to stimulation of the cornea (by touch, foreign body, blowing air). The corneal reflex (also known as the blink reflex, normally results in an involuntary blinking of the eyelids.",HP:0000478,0,Definition
HP:0025579,Any structural abnormality of the left atrium.,HP:0001626,0,Synonym
HP:0030082,Abnormal consumption of fluids with excessive or insufficient consumption of fluid or any other abnormal pattern of fluid consumption.,HP:0000707,17,Synonym
HP:0008800,A decreased ability to move the femur at the hip joint associated with a decreased range of motion of the hip.,HP:0000924,2,Synonym
HP:0032491,An increased level of the non-proteinogenic amino acid argininosuccinic acid in the blood circulation.,HP:0001939,3,Definition
HP:0020210,"A seizure precipitated by complex, cognition-guided tasks often involving visuomotor coordination and decision-making.",HP:0000707,2,Synonym
HP:0007609,"An abnormal accumulation of fluid beneath the skin, or in one or more cavities of the body because of decreased osmotic pressure of plasma (hypoproteinemia).",HP:0001939,3,Definition
HP:0003752,"Recurrent episodes of muscle flaccidity, a type of paralysis in which a muscle becomes soft and yields to passive stretching.",HP:0003011,0,Synonym
HP:0030722,"Ectopic liver is a rare developmental anomaly in which liver tissue is situated outside the liver. Thus, ectopic liver refers to autonomous islands of normal liver parenchyma located outside the liver. The term ectopic liver is also used, to include liver appendices attached to the native liver by a thin stalk although being fully separated from the latter.",HP:0025031,10,Definition
