Sentence,Description,Score,HPO_ID,Remarks
Any anomaly of cell structure.,Growth issue,0.68798828125,HP:0001507,Synonym
Any anomaly of cell structure.,Abnormality of prenatal development or birth,0.671875,HP:0001197,Synonym
Any anomaly of cell structure.,Cancer,0.62646484375,HP:0002664,Synonym
Any anomaly of cell structure.,Abnormal cellular phenotype,0.61181640625,HP:0025354,Definition
Any anomaly of cell structure.,Genitourinary tract anomalies,0.6083984375,HP:0000119,Synonym
Any anomaly of cell structure.,Limb anomaly,0.607421875,HP:0040064,Synonym
Any anomaly of cell structure.,Abnormality of the hematopoietic system,0.6025390625,HP:0001871,Synonym
Any anomaly of cell structure.,Ear anomaly,0.6015625,HP:0000598,Synonym
Any anomaly of cell structure.,Abnormal growth,0.59619140625,HP:0001507,Synonym
Any anomaly of cell structure.,Abnormality of the haematopoietic system,0.5947265625,HP:0001871,Synonym
Any anomaly of cell structure.,Organ abnormality,0.59130859375,HP:0000118,Synonym
Any anomaly of cell structure.,Abnormality of connective tissue,0.5908203125,HP:0003549,Definition
Any anomaly of cell structure.,Growth abnormality,0.5908203125,HP:0001507,Synonym
Any anomaly of cell structure.,Tumor,0.587890625,HP:0002664,Synonym
Any anomaly of cell structure.,Skeletal anomalies,0.587890625,HP:0000924,Synonym
Any anomaly of cell structure.,Phenotypic abnormality,0.587890625,HP:0000118,Definition
Any anomaly of cell structure.,Abnormality of blood and blood-forming tissues,0.58251953125,HP:0001871,Synonym
Any anomaly of cell structure.,Tumour,0.5810546875,HP:0002664,Synonym
Any anomaly of cell structure.,Urogenital anomalies,0.5732421875,HP:0000119,Synonym
Any anomaly of cell structure.,Oncology,0.57275390625,HP:0002664,Synonym
Any anomaly of cell structure.,Oncological abnormality,0.57177734375,HP:0002664,Synonym
Any anomaly of cell structure.,Abnormality of the integument,0.56005859375,HP:0001574,Definition
Any anomaly of cell structure.,Abnormality of metabolism/homeostasis,0.55859375,HP:0001939,Definition
Any anomaly of cell structure.,Abnormality of the genitourinary system,0.55419921875,HP:0000119,Definition
Any anomaly of cell structure.,Neoplasia,0.55322265625,HP:0002664,Synonym
Any anomaly of cell structure.,Genitourinary abnormality,0.55322265625,HP:0000119,Synonym
Any anomaly of cell structure.,Cardiovascular abnormality,0.55126953125,HP:0001626,Synonym
Any anomaly of cell structure.,Metabolism abnormality,0.55126953125,HP:0001939,Synonym
Any anomaly of cell structure.,Abnormality of the immune system,0.546875,HP:0002715,Definition
Any anomaly of cell structure.,Cardiovascular disease,0.54296875,HP:0001626,Synonym
Any anomaly of cell structure.,Neoplasm,0.54052734375,HP:0002664,Definition
Any anomaly of cell structure.,Abnormality of the breast,0.54052734375,HP:0000769,Definition
Any anomaly of cell structure.,Abnormality of the nervous system,0.5400390625,HP:0000707,Synonym
Any anomaly of cell structure.,Abnormality of head or neck,0.5380859375,HP:0000152,Synonym
Any anomaly of cell structure.,Abnormality of the GU system,0.53564453125,HP:0000119,Synonym
Any anomaly of cell structure.,Immunological abnormality,0.5341796875,HP:0002715,Synonym
Any anomaly of cell structure.,Abnormal tissue mass,0.5341796875,HP:0002664,Synonym
Any anomaly of cell structure.,Respiratory abnormality,0.53369140625,HP:0002086,Synonym
Any anomaly of cell structure.,Abnormality of the musculature,0.53271484375,HP:0003011,Definition
Any anomaly of cell structure.,Abnormality of the endocrine system,0.5283203125,HP:0000818,Definition
Any anomaly of cell structure.,Abnormality of the cardiovascular system,0.521484375,HP:0001626,Synonym
Any anomaly of cell structure.,Abnormality of the voice,0.51806640625,HP:0001608,Synonym
Any anomaly of cell structure.,Genitourinary tract malformation,0.51806640625,HP:0000119,Synonym
Any anomaly of cell structure.,Muscular abnormality,0.515625,HP:0003011,Synonym
Any anomaly of cell structure.,Abnormality of the skeletal system,0.51513671875,HP:0000924,Synonym
Any anomaly of cell structure.,Abnormality of the respiratory system,0.513671875,HP:0002086,Definition
Any anomaly of cell structure.,Brain and/or spinal cord issue,0.51123046875,HP:0000707,Synonym
Any anomaly of cell structure.,Genitourinary disease,0.50830078125,HP:0000119,Synonym
Any anomaly of cell structure.,Abnormality of the digestive system,0.50732421875,HP:0025031,Definition
Any anomaly of cell structure.,Abnormal limbs,0.50341796875,HP:0040064,Synonym
Any anomaly of cell structure.,Abnormality of the eye,0.5029296875,HP:0000478,Definition
