HPO_ID,Description,Depth
HP:0000118,Phenotypic abnormality,1
HP:0000478,Abnormality of the eye,2
HP:0000769,Abnormality of the breast,2
HP:0001574,Abnormality of the integument,2
HP:0003011,Abnormality of the musculature,2
HP:0025354,Abnormal cellular phenotype,2
HP:0002715,Abnormality of the immune system,2
HP:0002664,Neoplasm,2
HP:0040064,Abnormality of limbs,2
HP:0000152,Abnormality of head or neck,2
HP:0001939,Abnormality of metabolism/homeostasis,2
HP:0001626,Abnormality of the cardiovascular system,2
HP:0041161,Fractured pelvic region of trunk,2
HP:0000598,Abnormality of the ear,2
HP:0003549,Abnormality of connective tissue,2
HP:0000119,Abnormality of the genitourinary system,2
HP:0002086,Abnormality of the respiratory system,2
HP:0001197,Abnormality of prenatal development or birth,2
HP:0001871,Abnormality of blood and blood-forming tissues,2
HP:0000707,Abnormality of the nervous system,2
HP:0025142,Constitutional symptom,2
HP:0000924,Abnormality of the skeletal system,2
HP:0000818,Abnormality of the endocrine system,2
HP:0025031,Abnormality of the digestive system,2
HP:0001507,Growth abnormality,2
HP:0041054,Fractured thoracic segment of trunk,2
HP:0045027,Abnormality of the thoracic cavity,2
HP:0001608,Abnormality of the voice,2
HP:0041158,Fractured trunk,2
HP:0025461,Abnormal cell morphology,3
HP:0031352,Chest tightness,3
HP:0000464,Abnormality of the neck,3
HP:0001686,Loss of voice,3
HP:0031863,Bloodstream infectious agent,3
HP:0001928,Abnormality of coagulation,3
HP:0009088,Speech articulation difficulties,3
HP:0041079,Decreased body fat percentage,3
HP:0012379,Abnormal enzyme/coenzyme activity,3
HP:0011024,Abnormality of the gastrointestinal tract,3
HP:0100685,Abnormal Sharpey fiber morphology,3
HP:0031838,Presence of xenobiotic,3
HP:0011805,Abnormal skeletal muscle morphology,3
HP:0100699,Scarring,3
HP:0001622,Premature birth,3
HP:0001621,Weak voice,3
HP:0012639,Abnormal nervous system morphology,3
HP:0000828,Abnormality of the parathyroid gland,3
HP:0011034,Amyloidosis,3
HP:0010978,Abnormality of immune system physiology,3
HP:0033047,Body ache,3
HP:0100536,Abnormality of the fascia,3
HP:0031434,Abnormal speech prosody,3
HP:0010300,Abnormally low-pitched voice,3
HP:0011017,Abnormal cellular physiology,3
HP:0031550,Abnormal flow cytometry test result,3
HP:0011425,Fetal ultrasound soft marker,3
HP:0500015,Abnormal cardiac test,3
HP:0000234,Abnormality of the head,3
HP:0011138,Abnormality of skin adnexa morphology,3
HP:0001510,Growth delay,3
HP:0031093,Abnormal breast morphology,3
HP:0500001,Body odor,3
HP:0100271,Hyponasal speech,3
HP:0031217,Hot flashes,3
HP:0020169,Abnormal drug response,3
HP:0009124,Abnormal adipose tissue morphology,3
HP:0012372,Abnormal eye morphology,3
HP:0002817,Abnormality of the upper limb,3
HP:0008373,Puberty and gonadal disorders,3
