HPO_ID,Description,Depth,Remarks
HP:0000118,Phenotypic abnormality,1,Definition
HP:0000118,Organ abnormality,1,Synonym
HP:0000769,Abnormality of the breast,2,Definition
HP:0002086,Respiratory abnormality,2,Synonym
HP:0000119,Urogenital anomalies,2,Synonym
HP:0000119,Urogenital abnormalities,2,Synonym
HP:0000119,Genitourinary tract malformation,2,Synonym
HP:0000119,Genitourinary tract anomalies,2,Synonym
HP:0000119,Genitourinary dysplasia,2,Synonym
HP:0000119,Genitourinary disease,2,Synonym
HP:0000119,Genitourinary abnormality,2,Synonym
HP:0001197,Abnormality of prenatal development or birth,2,Synonym
HP:0000119,Abnormality of the GU system,2,Synonym
HP:0000598,Abnormality of the ear,2,Synonym
HP:0041161,bone pelvic region of trunk,2,Synonym
HP:0001626,Cardiovascular disease,2,Synonym
HP:0001626,Cardiovascular abnormality,2,Synonym
HP:0001626,Abnormality of the cardiovascular system,2,Synonym
HP:0001939,Metabolism abnormality,2,Synonym
HP:0001939,Laboratory abnormality,2,Synonym
HP:0000152,Head and neck abnormality,2,Synonym
HP:0000598,Ear anomaly,2,Synonym
HP:0000152,Abnormality of head or neck,2,Synonym
HP:0001871,Abnormality of blood and blood-forming tissues,2,Synonym
HP:0001871,Abnormality of the hematopoietic system,2,Synonym
HP:0000478,Abnormality of the eye,2,Definition
HP:0000478,Abnormal eye,2,Synonym
HP:0041158,bone trunk,2,Synonym
HP:0001608,Abnormality of the voice,2,Synonym
HP:0041054,bone thoracic segment of trunk,2,Synonym
HP:0001507,Growth issue,2,Synonym
HP:0001507,Growth abnormality,2,Synonym
HP:0001507,Abnormal growth,2,Synonym
HP:0001871,Abnormality of the haematopoietic system,2,Synonym
HP:0000818,Endocrine system disease,2,Synonym
HP:0000924,Skeletal abnormalities,2,Synonym
HP:0000924,Abnormality of the skeletal system,2,Synonym
HP:0000707,Neurological abnormality,2,Synonym
HP:0000707,Neurologic abnormalities,2,Synonym
HP:0000707,Brain and/or spinal cord issue,2,Synonym
HP:0000707,Abnormality of the nervous system,2,Synonym
HP:0001871,Hematological abnormality,2,Synonym
HP:0001871,Hematologic disease,2,Synonym
HP:0000924,Skeletal anomalies,2,Synonym
HP:0040064,Limb anomaly,2,Synonym
HP:0001608,Voice abnormality,2,Synonym
HP:0040064,Abnormality of limbs,2,Synonym
HP:0025142,Constitutional symptom,2,Definition
HP:0002086,Abnormality of the respiratory system,2,Definition
HP:0000119,Abnormality of the genitourinary system,2,Definition
HP:0003549,Abnormality of connective tissue,2,Definition
HP:0041161,Fractured pelvic region of trunk,2,Definition
HP:0001939,Abnormality of metabolism/homeostasis,2,Definition
HP:0002664,Neoplasm,2,Definition
HP:0002715,Abnormality of the immune system,2,Definition
HP:0040064,Dysmelia,2,Synonym
HP:0001574,Abnormality of the integument,2,Definition
HP:0003011,Abnormality of the musculature,2,Definition
HP:0000818,Abnormality of the endocrine system,2,Definition
HP:0025354,Abnormal cellular phenotype,2,Definition
HP:0025031,Abnormality of the digestive system,2,Definition
HP:0002664,Tumour,2,Synonym
HP:0040064,Abnormal limbs,2,Synonym
HP:0002664,Tumor,2,Synonym
HP:0002664,Oncology,2,Synonym
HP:0002664,Oncological abnormality,2,Synonym
HP:0002664,Neoplasia,2,Synonym
HP:0002664,Abnormal tissue mass,2,Synonym
HP:0002715,Immunological abnormality,2,Synonym
HP:0002664,Cancer,2,Synonym
HP:0003011,Muscular abnormality,2,Synonym
HP:0000478,Eye disease,2,Synonym
HP:0041158,Fractured trunk,2,Definition
HP:0045027,Abnormality of the thoracic cavity,2,Definition
HP:0041054,Fractured thoracic segment of trunk,2,Definition
HP:0001609,Hoarse voice,3,Synonym
