HPO_ID,Sentence,Ancestor
HP:0025461,Any anomaly of cell structure.,HP:0025354
HP:0031352,An unpleasant sensation of tightness or pressure in the chest.,HP:0025142
HP:0000464,An abnormality of the neck.,HP:0000152
HP:0031863,The presence of an infectious agent in the blood circulation.,HP:0001939
HP:0001928,"An abnormality of the process of blood coagulation. That is, altered ability or inability of the blood to clot.",HP:0001871
HP:0009088,Impairment in the physical production of speech sounds.,HP:0001608
HP:0041079,"The percentage of fat as a part of total body weight below the norm, usually defined as less than 14% for females and less than 8% for males.",HP:0001507
HP:0012379,An altered ability of any enzyme or their cofactors to act as catalysts. This term includes changes due to altered levels of an enzyme.,HP:0001939
HP:0011024,An abnormality of the gastrointestinal tract.,HP:0025031
HP:0100685,"An abnormality of Sharpey's fibers (bone fibers, or perforating fibers), which are a matrix of connective tissue consisting of bundles of strong collagenous fibres connecting periosteum to bone.",HP:0003549
HP:0031838,Presence of a chemical substance found within an individual that is not naturally produced or expected to be present in human tissues or bodily fluids.,HP:0001939
HP:0011805,A structural abnormality of a skeletal muscle.,HP:0003011
HP:0001622,The birth of a baby of less than 37 weeks of gestational age.,HP:0001197
HP:0001621,Reduced intensity (volume) of speech.,HP:0001608
HP:0012639,A structural anomaly of the nervous system.,HP:0000707
HP:0000828,An abnormality of the parathyroid gland.,HP:0000818
HP:0011034,The presence of amyloid deposition in one or more tissues. Amyloidosis may be defined as the extracellular deposition of amyloid in one or more sites of the body.,HP:0001939
HP:0010978,A functional abnormality of the immune system.,HP:0002715
HP:0033047,"Body ache is a complaint that is often used to denote vague symptoms of mild fatigue, lethargy, or dull aches. We will define it here to mean a dull and poorly localizable pain that is described by the affected individual to affect multiple joints or body parts or even the entire body.",HP:0025142
HP:0100536,An abnormality of fascia.,HP:0003549
HP:0031434,"An anomaly of the expressive patterns of speech that involve intonation, stress pattern, loudness variations, pausing, articulatory force, and rhythm.",HP:0001608
HP:0010300,An abnormally low-pitched voice.,HP:0001608
HP:0031550,"Any abnormal result of flow cytometry, a method that suspends cells in a stream of fluid and passes them through an electronic detection apparatus in order to assess cell count or measure biomarkers or surface molecules.",HP:0025354
HP:0011425,An finding upon obstetric ultrasound examination performed at around 16 to 20 weeks of gestation that is abnormal but not clearly identifiable as a fetal anatomic malformation or growth restriction. Such findings are known as soft markers since they are associated with increased risk for fetal aneuploidy or other disorders.,HP:0001197
HP:0500015,Abnormal test result of cardiovascular physiology.,HP:0001626
HP:0000234,An abnormality of the head.,HP:0000152
HP:0011138,"An abnormality of the skin adnexa (skin appendages), which are specialized skin structures located within the dermis and focally within the subcutaneous fatty tissue, comprising three histologically distinct structures: (1) the pilosebaceous unit (hair follicle and sebaceous glands); (2) the eccrine sweat glands; and (3) the apocrine glands.",HP:0001574
HP:0001510,A deficiency or slowing down of growth pre- and postnatally.,HP:0001507
HP:0031093,Any anomaly of the structure of the breast.,HP:0000769
HP:0500001,A perceived unpleasant smell given off by the body.,HP:0025142
HP:0100271,Hyponasal speech is when there is an abnormally reduced nasal airflow during speech often in a setting of nasal obstruction or congestion.,HP:0001608
HP:0031217,"Sudden feelings of warmth that are generally most pronounced over the face, neck and chest.",HP:0025142
HP:0020169,An anomlous response to a medication related to individual variation in metabolic or immune response to drugs varying from potentially from potentially life-threatening adverse drug reactions to alteration of therapeutic efficacy.,HP:0001939
HP:0009124,"An abnormality of adipose tissue, which is loose connective tissue composed of adipocytes.",HP:0003549
HP:0012372,"A structural anomaly of the globe of the eye, or bulbus oculi.",HP:0000478
HP:0002817,An abnormality of the arm.,HP:0040064
HP:0041090,A fractured in which a fragment of the pelvic region of trunk bone tears away from the main mass of bone as a result of physical trauma.,HP:0041161
HP:0025429,"Any anomaly of the vocalizing of an infant's crying, i.e.,the typically loud voice production that is accompanied by tears and agitation.",HP:0001608
HP:0001218,Spontaneous detachment (amputation) of an appendage from the body.,HP:0040064
HP:0001892,"An abnormal susceptibility to bleeding, often referred to as a bleeding diathesis. A bleeding diathesis may be related to vascular, platelet and coagulation defects.",HP:0001871
HP:0025144,Involuntary contraction or twitching of the muscles.,HP:0025142
HP:0012029,An abnormal concentration of a hormone in the urine.,HP:0000818
HP:0100589,The presence of a fistula affecting the genitourinary system.,HP:0000119
HP:0012373,A functional anomaly of the eye.,HP:0000478
HP:0001787,An abnormality of the birth process.,HP:0001197
HP:0032483,Abnormal level of metabolite or other abnormal analyte result in a stool test.,HP:0001939
HP:0009025,The presence of an abnormally increased amount of connective tissue.,HP:0003549
HP:0410008,Any abnormality of the part of the nervous system that consists of the nerves and ganglia outside of the brain and spinal cord.,HP:0000707
HP:0011842,"An abnormality of the form, structure, or size of the skeletal system.",HP:0000924
HP:0001194,An abnormality of the placenta (the organ that connects the developing fetus to the uterine wall) or of the umbilical cord (the cord that connects the fetus to the placenta).,HP:0001197
HP:0020047,"Any structural anomaly of a cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage.",HP:0001871
HP:0005561,An anomaly of the form or number of cells in the bone marrow.,HP:0001871
HP:0002012,An abnormality of the viscera of the abdomen.,HP:0025031
HP:0012638,A functional anomaly of the nervous system.,HP:0000707
HP:0031704,Any functional anomaly of the ear.,HP:0000598
HP:0033012,Any deviation from the normal concentration of a metabolite in saliva.,HP:0001939
HP:0012252,A structural anomaly of the respiratory system.,HP:0002086
HP:0011843,An abnormality of the function of the skeletal system.,HP:0000924
HP:0012378,A subjective feeling of tiredness characterized by a lack of energy and motivation.,HP:0025142
HP:0010948,An abnormality of the fetal circulation system or fetal echocardiogram.,HP:0001626
HP:0012531,"An unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage.",HP:0025142
HP:0032479,"It is estimated that about 40-70 percent of human embryos produced in vitro fertilization (IVF) and intracytoplasmic sperm injection (ICSI) are viable embryos, whereas others arrest at different early stages of development. The phenotype of preimplantation lethality is inferred if IVF and ICSI cycles fail because all of an individual's embryos are arrested at early stages of development.",HP:0001197
